Name,Team,W,L,SV,G,GS,IP,K%,BB%,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,ERA-,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
Philip Abner,ARI,0.0,0.0,0.0,8.0,0.0,14.1,0.09375,0.125,3.7674421946895684,5.023256259586091,1.2558140648965228,0.25,0.625,0.4,0.1,90.57352941176471,6.279070324482614,148.96797890411847,7.304645079668813,5.732126828230306,6.037351414642788,-0.16517899930477142,Philip Abner,33821,691769
Camilo Doval,- - -,3.0,1.0,1.0,51.0,0.0,46.2,0.22488038,0.11483254,9.064287690143626,4.62857243752015,1.3500002942767104,0.27906976744186046,0.64189189,0.544776119,0.175,,4.242858067726804,102.84050149682739,3.568778978278917,4.6881070098099205,4.039887669243566,-0.16585799679160118,Camilo Doval,21992,666808
Jedixson Paez,CHW,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.1875,0.0,9.000002861023859,6.000001907349239,0.18181818181818182,0.23809524,0.307692307,0.25,91.86521314538044,18.000005722047717,431.5689655378236,12.755496141836622,14.747634177738945,10.13095075686358,-0.1660630851984024,Jedixson Paez,29114,699151
Cristian Javier,HOU,1.0,3.0,0.0,10.0,6.0,32.1,0.16778523,0.10738255,6.958763160263658,4.453608422568741,1.670103158463278,0.33,0.67901235,0.228571428,0.109090909,93.04734775287102,6.680412633853112,161.5069417324082,5.919642631855999,5.617046376300402,5.788106219536321,-0.16612089425325394,Cristian Javier,17606,664299
Carlos Carrasco,ATL,0.0,0.0,0.0,8.0,0.0,16.2,0.09589041,0.04109589,3.7800005767823146,1.6200002471924206,1.6200002471924206,0.3103448275862069,0.68807339,0.413793103,0.176470588,91.76129347278226,5.940000906372209,141.64839644075747,8.841908768548095,5.48096416854864,4.690083200743536,-0.16718244552612305,Carlos Carrasco,6632,471911
Dedniel Nunez,NYM,0.0,0.0,0.0,4.0,0.0,3.1,0.2,0.0,10.80000102996836,0.0,5.40000051498418,0.5714285714285714,0.41666667,0.3125,0.285714285,96.13056098090277,13.50000128746045,334.5707939020667,8.865780655951161,8.480964317321828,3.870326839416079,-0.1702195405960083,Dedniel Nunez,23055,673380
Kyle Nicolas,CIN,1.0,0.0,0.0,7.0,0.0,7.1,0.16666667,0.30952381,8.590910580532869,15.954548220989613,1.227272940076124,0.3333333333333333,0.71428571,0.227272727,0.09090909,96.80208333333333,8.590910580532869,196.19714278479515,8.98173997217938,8.26278288265906,8.76817209884885,-0.17047278583049774,Kyle Nicolas,27775,693312
Joe Ross,- - -,0.0,1.0,0.0,8.0,0.0,11.2,0.12280702,0.10526316,5.400000735691716,4.628572059164328,2.314286029582164,0.3170731707317073,0.50561798,0.431818181,0.166666666,95.23658715224848,9.257144118328656,221.6412064813856,6.883720807780939,6.766678590190723,5.767026752463471,-0.17083382979035378,Joe Ross,12972,605452
Shane Bieber,TOR,4.0,2.0,0.0,10.0,10.0,48.2,0.17050691,0.11059908,6.842466110985435,4.438356396314877,1.8493151651311988,0.2876712328767123,0.79032258,0.442307692,0.169491525,92.33796345338983,4.993150945854237,120.74968562459925,6.829122311299806,5.711100926079796,4.881085371416138,-0.1749771237373352,Shane Bieber,19427,669456
Shaun Anderson,LAA,2.0,0.0,0.0,12.0,0.0,20.0,0.1827957,0.10752688,7.650000729560921,4.500000429153483,1.8000001716613934,0.3442622950819672,0.55921053,0.444444444,0.181818181,93.10000415558511,7.650000729560921,181.75231307407887,6.874318071718735,5.630964045524621,4.701582651167522,-0.17538270354270935,Shaun Anderson,19453,641312
